127.0.0.1 - - [29/Apr/2023:22:43:53 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:43:55 +0530] "GET /E-Society/index.jsp HTTP/1.1" 200 15529
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:43:55 +0530] "GET /E-Society/assets/css/style-starter.css HTTP/1.1" 200 294280
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:43:55 +0530] "GET /E-Society/assets/css/dropdown.css HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:43:55 +0530] "GET /E-Society/assets/css/style-liberty.css HTTP/1.1" 200 2558
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:43:55 +0530] "GET /E-Society/assets/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:43:55 +0530] "GET /E-Society/assets/js/jquery-3.3.1.min.js HTTP/1.1" 200 69917
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:43:55 +0530] "GET /E-Society/assets/js/theme-change.js HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:43:55 +0530] "GET /E-Society/assets/js/owl.carousel.js HTTP/1.1" 200 90057
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:43:55 +0530] "GET /E-Society/assets/js/jquery.waypoints.min.js HTTP/1.1" 200 8833
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:43:55 +0530] "GET /E-Society/assets/js/jquery.countup.js HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:43:55 +0530] "GET /E-Society/assets/images/one.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:43:55 +0530] "GET /E-Society/assets/images/online.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:43:56 +0530] "GET /E-Society/assets/images/poster.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:43:56 +0530] "GET /E-Society/assets/images/on2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:43:56 +0530] "GET /E-Society/assets/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:43:56 +0530] "GET /E-Society/assets/images/banner4.jpg HTTP/1.1" 200 136372
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:43:56 +0530] "GET /E-Society/assets/images/banner2.jpg HTTP/1.1" 200 210128
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:43:56 +0530] "GET /E-Society/assets/images/home.jpg HTTP/1.1" 200 610909
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:43:56 +0530] "GET /E-Society/assets/images/banner3.jpg HTTP/1.1" 200 84951
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:43:56 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:44:08 +0530] "GET /E-Society/about.jsp HTTP/1.1" 200 9508
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:44:08 +0530] "GET /E-Society/assets/images/banner5.jpg HTTP/1.1" 200 137128
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:44:13 +0530] "GET /E-Society/contact.jsp HTTP/1.1" 200 11320
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:44:19 +0530] "GET /E-Society/member-signup.jsp HTTP/1.1" 200 11051
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:44:27 +0530] "GET /E-Society/member-login.jsp HTTP/1.1" 200 10355
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:44:36 +0530] "POST /E-Society/MemberController HTTP/1.1" 200 17529
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:44:40 +0530] "GET /E-Society/member-view-complaint.jsp HTTP/1.1" 200 11731
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:45:17 +0530] "GET /E-Society/member-book-hall.jsp HTTP/1.1" 200 12487
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:46:08 +0530] "POST /E-Society/HallBookController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:46:09 +0530] "GET /E-Society/member-hall-booking-list.jsp HTTP/1.1" 200 11308
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:46:15 +0530] "GET /E-Society/member-hall-booking-list.jsp HTTP/1.1" 200 11308
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:49:47 +0530] "GET /E-Society/member-book-hall.jsp HTTP/1.1" 200 12487
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:50:36 +0530] "POST /E-Society/HallBookController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:50:36 +0530] "GET /E-Society/member-hall-booking-list.jsp HTTP/1.1" 200 12763
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:50:43 +0530] "GET /E-Society/member-edit-booking-detail.jsp?bid=1 HTTP/1.1" 200 12644
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:50:56 +0530] "POST /E-Society/HallBookController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:50:56 +0530] "GET /E-Society/member-hall-booking-list.jsp HTTP/1.1" 200 12763
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:51:03 +0530] "GET /E-Society/member-view-notice.jsp HTTP/1.1" 200 12260
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:53:06 +0530] "GET /E-Society/member-view-notice.jsp HTTP/1.1" 200 12399
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:53:37 +0530] "GET /E-Society/member-view-notice.jsp HTTP/1.1" 200 12474
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:54:05 +0530] "GET /E-Society/member-view-notice.jsp HTTP/1.1" 200 12420
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:54:27 +0530] "GET /E-Society/member-view-notice.jsp HTTP/1.1" 200 12455
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:06 +0530] "GET /E-Society/member-view-notice.jsp HTTP/1.1" 200 12475
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:21 +0530] "GET /E-Society/member-view-notice.jsp HTTP/1.1" 200 12471
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:30 +0530] "GET /E-Society/member-profile.jsp HTTP/1.1" 200 13697
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:33 +0530] "GET /E-Society/member-change-password.jsp HTTP/1.1" 200 12372
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:36 +0530] "GET /E-Society/member-view-complaint.jsp HTTP/1.1" 200 11731
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:37 +0530] "GET /E-Society/member-book-hall.jsp HTTP/1.1" 200 12487
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:40 +0530] "GET /E-Society/member-hall-booking-list.jsp HTTP/1.1" 200 12763
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:46 +0530] "GET /E-Society/member-logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:46 +0530] "GET /E-Society/index.jsp HTTP/1.1" 200 15529
