127.0.0.1 - - [10/May/2023:22:58:37 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/May/2023:22:58:42 +0530] "GET /E-Society/index.jsp HTTP/1.1" 200 15529
0:0:0:0:0:0:0:1 - - [10/May/2023:22:58:42 +0530] "GET /E-Society/assets/js/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:22:58:42 +0530] "GET /E-Society/assets/js/theme-change.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:22:58:42 +0530] "GET /E-Society/assets/css/style-liberty.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:22:58:42 +0530] "GET /E-Society/assets/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:22:58:42 +0530] "GET /E-Society/assets/css/style-starter.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:22:58:42 +0530] "GET /E-Society/assets/css/dropdown.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:22:58:42 +0530] "GET /E-Society/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:22:58:43 +0530] "GET /E-Society/assets/js/jquery.waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:22:58:43 +0530] "GET /E-Society/assets/js/jquery.countup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:22:58:43 +0530] "GET /E-Society/assets/images/one.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:22:58:43 +0530] "GET /E-Society/assets/images/online.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:22:58:43 +0530] "GET /E-Society/assets/images/on2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:22:58:43 +0530] "GET /E-Society/assets/images/poster.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:22:58:43 +0530] "GET /E-Society/assets/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:22:58:43 +0530] "GET /E-Society/assets/images/home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:22:58:43 +0530] "GET /E-Society/assets/images/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:22:58:43 +0530] "GET /E-Society/assets/images/banner3.jpg HTTP/1.1" 304 -
